iterations,loss,generated_seq
100,4.356211853027344,"ô so“4oçd ar ’ot .

“oof 2ove, waic wooured 6o’z the uShe 1oUid soufasg couN.”

“qorî aid aic lould.”

“Coède “lood alefks Rool aloine loouX benp then na‘l. 
“uor) on dot ave Qot ai—net bat soun it the"
200,4.401395568847656,à$s cañhe the œoOt. - o” 4ot *eut har and the Lad !ulle and I huçt we—and He weren in the XoCn a me eni4 Oa Le4and deç_ inge to were ame and on and that wect hep that of poé6 èame the aid go AOarCer an
300,4.370703125,"q Uout the “7one and me and were bette oZe ? inz and tLe were and were and and the and a and and the st there and and the beWe hap the and the the and ding the die and and )ixng were and fz.”

“The a a"
400,4.376875,"2l was veFsesas
was the dasy wantve was 0e said SI the said æou the on the was to and said bentte was bernitme He said =earWe âesount esad the îe said was the was The on you was 2Dont andî mere the Lel"
500,4.353321533203125,"re !nont the .”

“You Engeve the con the hèe hart the win. Bor the 3he wey be 8e you had the said and the x)e çor the kzet beep2ing as not the dros of the and èare of the baRe The in the Uing hit Lon t"
600,4.414400329589844,7 and and and and the and the the right the and Je*All said ther though the to that the carwhat the the not and and and and and and and =le pand tàyou and the and the the the roç ring a thn and haid th
700,4.270371704101563,ove leand the the said. Bill said. “They staiñced want went srKain. Gear sYound on the the stoand the ;re. I said the said. “Ret and said. he said and stund the said the the VWe saidu said the firing t
800,4.391654052734375,Je and the she licke the were was mAlL Yese a ;pe ase wLre and No the was Xod the kS” I light Hape on the down the 2t in and 8 I with 3âve. The I and and the down Brett his me were the was a was thing 
900,4.312871704101562,"t on the me was said count on the for. I the was (ight count the 0n7lQ was one. for’d said.

“Som was the :own the was out shar! I with the him the ?GeEr the said.

“I was was BreJight wTîs bust to the"
1000,4.3881982421875,‘t you was the ha1 want on let _man. I wanten the ell the could the hat him cox4e P the the not and 8he wawant the the stand wat the the che da sting want the baî= and the tne had the and and ver0p and
1100,4.405276489257813,ñomer the stand the Verter the saided the she stand the the barber the cant wind jure the was the the ro-ken the stand the can’t want good the litt was the the stand the A some the con4 the æot and the
1200,4.345025634765625,"Not the F2r the could the bare the xom Engide )er the kell 6ould said No;d ‘reerODs the said Brett and you said and stee fiseger QneNing and me with the the badé the to the don’t the bull liA
from the "
1300,4.368594360351563,ped the love was here she was he bas the were him with the bull she love a here want yow got the we!ll and on the rever himlis the pill seet have have be down and wo got bed have dir on the have the wa
1400,4.330606079101562,"the was the said. The have the ”a the 8ou1 and to ?”

“What 3nead mount went with the 4o;d the Enging the staide said.

“I was the count and and the the was the  of the goôTe stum a know the Mike said."
1500,4.310744018554687,"Xn the said. “I and the booJeZ the ever the to said. “I was 9ñe I was the ;and on the was he said. ““See the tian he Oh, he was the Not and quare and 
 cand but the tXre was was and the to he was the s"
1600,4.298295593261718,"bery of to the he was the said. “I wèThe said. “Oh, JoVe and the was the looked the 2âàant the “and the rood and the count in the said the and 9got the were the âand the said the was be(! ôand the hais"
1700,4.315725402832031,"Per Pean1 daod 7ought men the with the broid and )on’t the had aRe had “ the heAr the beer ‘Fer the èi“Ye. B8y was àouf , it beht his . GeaèGe, al the pent chaNhed the were see seehe dight the don’t wa"
1800,4.37986083984375,"FoWe the . The  The daçd and love.”

“I was to the care the lafter a the have the said. “I said. “I’m the said. “I sable. you and “Bill for the said. “What fi: and xor as said. “I said. “I Zam as the b"
1900,4.279963989257812,"ôwite and he julll monee and the of the said.

“I zor The said.

“I was the said.

“I the count the mall afe and Efing the said.

“said the said.

“I said.

“I all was was ére 6of the the X           *"
2000,4.2835540771484375,cre the On the to the was to betor come we was tain to table the æous he said. “I’m tay a Rome to the said. “I’s was the said. “He said the look to the tanU*nod a ——)ien to the take a tand the to to th
2100,4.284657897949219,"—the dine up the dan’t the . I said. “I’m din the Did the stame the bathed the dOre the said. “I know the the don’t reoy the ôond the first so the dar the 
R9rwaith the dan’t said he dan’t reall long t"
2200,4.308781433105469,"t a with the plaid he good Cohn the bak the ài*Mie the down the waiter the said :ox to me and seet the best ?”

“Well 2ide and t* not was could said and and to the said. “Want could were lo the Cohn pa"
2300,4.360630798339844,t the see the bast said. The bain to get and the Manned the Thint at Gor and the said. The cout of the was to the bother to of the said. “You was the ske hat to the Out with the just to the said. The w
2400,4.303260192871094,’s Qo was was Ut in the show_ hor inter a rain hear a row the belled the care and œoèn the ba’ll said. Bill 1ning him a the said. “The said. 8e6-fight the was a said. “Wellzel stairs a look a staid the
2500,4.370641479492187,"ô, and œShe was the sheje could was 6our little in the bart of the was the down were *n the said. “I was of the the very were spe” I said. The were cett ner see were said. The shouper and were peleged "
2600,4.3395993041992185,)er it ret in the - Were was Lothere the ramn and the have the mack the was not don’t the table the how don’t the back in the said. “Don’t the said. “How 5n the ro(er the said. “The rown a haunds the w
2700,4.356282958984375,"”

“He swas at She said. “I and one and ha, and here had the said.

“You and a s7en the said. “You wîne the was and the to Do and the fdar the said.

“You he“a—-was started and in the of the said. “I s"
2800,4.363703002929688,Dt. You got Ewalled $ing against buk the downK)ight and the my had beed the blood and 9ther and the was was sort the not was was a was been a bount ôiné Zill mart and the pwal’ do the bagone in the bag
