iterations,loss,generated_seq
100,4.440343933105469,ad. moune. mothere moteiretined æheleXs the =o u the?ees thets mothers the the thee0 theletind the ind the the uon thePed the? the hers the;s the the moth the the the the hlon theât the moéereHed there
200,4.492665710449219,)e the the toot the the the the the the bod woox wof the the the bome the the the ewa tho the bull pout the the bool the the the the the bod to the the Boll bomt the boot sook the the the bat the the t
300,4.4222018432617185,"eet the the AJe, the botto1 the
got the the the bot the the dot the
the the and
the yhend the the the lotthe kokime, the the wothend the in the bottle theh the bottAe to thend the bottle the bout the b"
400,4.382515869140625,"tafe the sat of the sake the sace faou hand ‘ring the sake sand the sace sand sace face sace the sand fake, sanding Jace th the sace sake sand face the sand the sace the sace the sain fand a EaRed face"
500,4.421644897460937,6 a the ind a d wine ind pe alle bo)d ond pe a Le licke a be ale ée ptard be ping Bralling and forrs abon af Nine are of pe Ofoure Je aé pose Xe be pioNkeChe here Said pe ind pere a me are lot be lot a
600,4.425637817382812,"and fou Fnoum_ed in it in the in in in in in F
                                                                                                                                                          "
700,4.405817260742188,"“the wis th” we we wull-d we wind de wed wa
d the we we wine ding in and we we wind and we we wind a a ding-or the wind the we ding wis an and we wecw dook and dran the we wis the we wind ders de we we"
800,4.369304809570313,"was had waid. Bibong hillsie slaiter on sot sat was aad the safe wa.”

“Donn aI wa2d aUd said aflon her ay =ay waWe was waid. Haid aTher-wa( he sait. Can’t himoR was wan the said was had waite. and wai"
900,4.439414978027344,"Yo a a asked and and a abopicker.

“Yer atHe a aXd af_ed a awacker! and a facked as abt packer are and æorned and a a asip a0is aDlè aborne wacked.”

“You’t a aLickerow cas and as a dorned ath aKasked "
1000,4.434270324707032,hat ;ouP for not you wove yot lou foung I hove youn. ‘r œover I fount lought me lon and =ou fo-fe yowe fove warng a goa“pe sto you foung éou It to not wove ma“ and I uo Sount’y sot yot to 5ove yo rere 
1100,4.428139343261718,"pxever and four fæulbaded fould lould moullad ther,7                                                                                                                                                     "
1200,4.4280126953125,"“qaid ingor the sitN and the cound,, waid is ing He oke ring waid said or!ing end wot 
aing “waing the dounting the the fitin4 and All ahe Awe !aid, AwEin6 and igh the owe faid in the onm the w5it He t"
1300,4.413562316894531,t it hin’t ras at (e sto at the st _ight lou* at the wid I at —ine str_ lis to on BoucZ cf at _içt ”e it the èis right sight _8e mt st it it the stre aqout erer jong gould gay Xt the I soup Bou it here
1400,4.414158325195313,"jester the d th” dâingg and the bas and thon ind ind out the caf Soun=. I d hat and thought the dod ind and S0at and and ind and dove wat toPe thNing. I dochghH*es and ind the gohnes and ind.”

“Noun h"
1500,4.44969482421875,=e. Le qe Ve me ne in telling in inlN lese teme me ce se tu Ue se me me c it leve nined he we the in it qe be we st Re he stev and7 nite in the seine noong qe seing txly ;iôh tll in te the sing nine te
