2995 31367
0 the 2543
1 old 363
2 man 377
3 and 1376
4 sea 161
5 ernest 1
6 hemingway 1
7 he 1166
8 was 431
9 an 29
10 who 25
11 fished 3
12 alone 11
13 in 358
14 a 397
15 skiff 45
16 guff 1
17 stream 3
18 had 203
19 gone 21
20 eighty-four 2
21 days 12
22 now 170
23 without 18
24 taking 4
25 fish 279
26 . 1653
27 first 30
28 forty 5
29 boy 95
30 been 43
31 with 205
32 him 223
33 but 232
34 after 33
35 ’ 167
36 s 72
37 parents 1
38 told 11
39 that 297
40 definitely 1
41 finally 6
42 salao 1
43 , 771
44 which 14
45 is 190
46 worst 1
47 form 2
48 of 540
49 unlucky 1
50 at 99
51 their 42
52 orders 1
53 an- 1
54 other 30
55 boat 39
56 caught 7
57 three 12
58 good 45
59 week 2
60 it 484
61 made 48
62 sad 4
63 to 454
64 see 67
65 come 58
66 each 30
67 day 25
68 his 445
69 empty 2
70 always 14
71 went 35
72 down 86
73 help 10
74 carry 4
75 either 5
76 coiled 5
77 lines 21
78 or 57
79 gaff 10
80 harpoon 19
81 sail 21
82 furled 4
83 around 20
84 mast 16
85 patched 3
86 flour 1
87 sacks 5
88 looked 37
89 like 44
90 flag 1
91 permanent 1
92 defeat 2
93 thin 2
94 gaunt 1
95 deep 16
96 wrinkles 1
97 back 82
98 neck 5
99 brown 7
100 blotches 2
101 benevolent 1
102 skin 3
103 cancer 1
104 sun 46
105 brings 3
106 from 94
107 its 30
108 9 1
109 reflection 2
110 on 202
111 tropic 1
112 were 136
113 cheeks 1
114 ran 4
115 well 37
116 sides 6
117 face 13
118 hands 43
119 deep-creased 1
120 scars 2
121 handling 1
122 heavy 19
123 cords 1
124 none 1
125 these 7
126 fresh 11
127 they 152
128 as 198
129 erosions 1
130 fishless 1
131 desert 1
132 everything 16
133 about 29
134 except 9
135 eyes 23
136 same 10
137 color 2
138 cheerful 2
139 undefeated 1
140 “ 425
141 santiago 3
142 ” 348
143 said 188
144 climbed 1
145 bank 1
146 where 35
147 hauled 1
148 up 83
149 i 499
150 could 116
151 go 44
152 you 188
153 again 62
154 we 45
155 ve 3
156 some 36
157 money. 1
158 taught 1
159 loved 9
160 no 89
161 re 8
162 lucky 8
163 stay 12
164 them 95
165 ! 3
166 remember 17
167 how 36
168 eighty-seven 2
169 then 149
170 big 35
171 ones 5
172 every 6
173 for 135
174 weeks. 1
175 know 34
176 did 60
177 not 217
178 leave 4
179 me 56
180 because 22
181 doubted. 1
182 papa 1
183 am 37
184 must 72
185 obey 1
186 him. 7
187 quite 6
188 normal. 1
189 hasn 3
190 t 31
191 much 46
192 faith. 1
193 lo 2
194 have 142
195 haven 2
196 ? 93
197 yes 9
198 can 94
199 offer 1
200 beer 5
201 terrace 8
202 ll 30
203 take 28
204 stuff 3
205 home. 1
206 why 9
207 between 8
208 fishermen. 1
209 sat 4
210 many 29
211 fishermen 14
212 fun 1
213 angry 1
214 others 9
215 older 3
216 show 7
217 spoke 6
218 politely 1
219 current 16
220 depths 2
221 drifted 3
222 steady 15
223 weather 9
224 what 71
225 seen 14
226 successful 1
227 already 6
228 butchered 2
229 marlin 6
230 out 103
231 car- 2
232 ried 2
233 laid 5
234 full 5
235 length 6
236 across 27
237 two 55
238 planks 2
239 men 8
240 staggering 1
241 end 7
242 plank 1
243 house 4
244 waited 5
245 ice 4
246 truck 1
247 market 3
248 havana 6
249 those 7
250 sharks 19
251 taken 8
252 shark 46
253 factory 2
254 side 32
255 cove 1
256 hoisted 2
257 block 1
258 tackle 1
259 livers 2
260 removed 1
261 fins 6
262 cut 33
263 off 23
264 hides 1
265 skinned 3
266 flesh 5
267 into 55
268 strips 6
269 salting 1
270 when 104
271 wind 13
272 east 7
273 smell 9
274 came 41
275 harbour 5
276 ; 11
277 today 9
278 there 101
279 1 8
280 only 52
281 faint 6
282 edge 6
283 odour 1
284 backed 2
285 north 4
286 dropped 9
287 oft 1
288 ' 15
289 pleasant 2
290 sunny 1
291 holding 7
292 glass 2
293 thinking 3
294 years 4
295 ago 2
296 get 43
297 sardines 10
298 tomorrow^ 1
299 play 3
300 baseball 9
301 still 39
302 row 2
303 ro- 1
304 gelio 1
305 will 90
306 throw 3
307 net. 1
308 would 93
309 if 78
310 serve 1
311 way. 1
312 bought 3
313 are 62
314 man. 6
315 took 30
316 five 3
317 nearly 7
318 killed 10
319 brought 12
320 too 67
321 green 6
322 tore 2
323 pieces 3
324 rem-ember 1
325 tail 24
326 slapping 1
327 banging 2
328 thwart 3
329 breaking 8
330 noise 5
331 clubbing 3
332 throwing 1
333 bow 32
334 wet 3
335 feeling 11
336 whole 3
337 shiver 2
338 chopping 1
339 tree 1
340 sweet 4
341 blood 11
342 all 96
343 over 49
344 me. 3
345 12 1
346 really 6
347 just 33
348 tell 12
349 to- 3
350 gether. 1
351 sun-burned 1
352 confident 4
353 loving 1
354 my 50
355 d 2
356 gamble 1
357 your 30
358 father 8
359 mother 3
360 boat. 1
361 may 10
362 four 5
363 baits 9
364 too. 2
365 mine 8
366 left 50
367 put 33
368 salt 10
369 box. 1
370 let 40
371 ones. 1
372 one 76
373 hope 10
374 confidence 5
375 never 28
376 freshen- 1
377 ing 18
378 breeze 15
379 rises 2
380 ‘ 10
381 agreed 1
382 didn 2
383 steal 3
384 these. 1
385 thank 6
386 simple 3
387 wonder 11
388 attained 2
389 humility 1
390 3 2
391 knew 45
392 dis- 2
393 graceful 1
394 carried 7
395 loss 3
396 true 7
