16142 393317
0 chapter 140
1 i 9233
2 in 4758
3 the 22064
4 late 67
5 summer 30
6 of 5328
7 that 3322
8 year 65
9 we 2883
10 lived 62
11 a 6460
12 house 122
13 village 43
14 looked 590
15 across 236
16 river 122
17 and 11667
18 plain 70
19 to 6681
20 mountains 110
21 . 23719
22 bed 227
23 there 1661
24 were 1880
25 pebbles 4
26 boulders 5
27 , 16030
28 dry 58
29 white 183
30 sun 185
31 water 327
32 was 4809
33 clear 90
34 swiftly 5
35 moving 57
36 blue 48
37 channels 7
38 troops 38
39 went 742
40 by 570
41 down 927
42 road 363
43 dust 42
44 they 2346
45 raised 19
46 powdered 2
47 leaves 38
48 trees 192
49 trunks 8
50 too 594
51 dusty 19
52 fell 45
53 early 85
54 saw 414
55 marching 8
56 along 275
57 rising 25
58 stirred 9
59 breeze 38
60 falling 30
61 soldiers 28
62 afterward 28
63 bare 36
64 except 136
65 for 1508
66 rich 13
67 with 2256
68 crops 3
69 ; 367
70 many 275
71 orchards 2
72 fruit 8
73 beyond 99
74 brown 58
75 fighting 48
76 at 1655
77 night 334
78 could 996
79 see 752
80 flashes 4
81 from 1034
82 artillery 22
83 dark 259
84 it 5430
85 like 874
86 lightning 5
87 but 1770
88 nights 24
89 cool 47
90 not 2233
91 feeling 89
92 storm 15
93 coming 201
94 sometimes 123
95 heard 192
96 under 277
97 window 128
98 guns 46
99 going 409
100 past 56
101 pulled 91
102 motor-tractors 1
103 much 403
104 traffic 10
105 mules 11
106 on 2489
107 roads 31
108 boxes 11
109 ammunition 2
110 each 179
111 side 267
112 their 423
113 pack-saddles 1
114 gray 29
115 motor-trucks 1
116 carried 69
117 men 191
118 other 470
119 trucks 16
120 loads 10
121 covered 35
122 canvas 36
123 moved 75
124 slower 6
125 big 387
126 passed 79
127 day 243
128 drawn 7
129 tractors 2
130 long 403
131 barrels 2
132 green 48
133 branches 25
134 leafy 2
135 vines 10
136 laid 21
137 over 589
138 north 60
139 look 246
140 valley 80
141 forest 68
142 chestnut 13
143 behind 145
144 another 243
145 mountain 65
146 this 871
147 successful 6
148 fall 49
149 when 1008
150 rains 15
151 came 717
152 all 1655
153 black 108
154 rain 146
155 vineyards 4
156 thin 63
157 bare-branched 1
158 country 232
159 wet 95
160 dead 166
161 autumn 3
162 mists 1
163 clouds 35
164 splashed 5
165 mud 34
166 muddy 18
167 capes 6
168 rifles 11
169 two 556
170 leather 25
171 cartridge-boxes 1
172 front 131
173 belts 4
174 heavy 111
175 packs 3
176 clips 4
177 6.5 1
178 mm 1
179 cartridges 15
180 bulged 2
181 forward 80
182 so 800
183 passing 30
184 marched 3
185 as 1544
186 though 193
187 six 46
