6678 75384
0 first 105
1 citizen 21
2 : 3043
3 before 72
4 we 292
5 proceed 8
6 any 69
7 further 11
8 , 5848
9 hear 83
10 me 532
11 speak 86
12 . 2327
13 all 287
14 resolved 5
15 second 45
16 would 160
17 you 973
18 especially 3
19 against 42
20 caius 7
21 marcius 38
22 ? 807
23 consider 4
24 what 385
25 services 3
26 he 452
27 has 19
28 done 44
29 for 559
30 his 464
31 country 12
32 nay 47
33 but 466
34 not 620
35 maliciously 1
36 if 262
37 i 1597
38 must 108
39 need 15
40 be 529
41 barren 3
42 of 1039
43 accusations 1
44 ; 1095
45 hath 154
46 faults 9
47 with 546
48 surplus 1
49 to 1393
50 tire 1
51 in 756
52 repetition 1
53 shouts 2
54 are 217
55 these 87
56 the 1828
57 other 46
58 side 11
59 o 189
60 ' 216
61 city 18
62 is 645
63 risen 1
64 why 110
65 stay 43
66 prating 2
67 here 169
68 capitol 4
69 ! 682
70 menenius 49
71 work 10
72 's 502
73 my 955
74 countrymen 1
75 hand 48
76 where 106
77 go 137
78 bats 1
79 and 1643
80 clubs 2
81 matter 14
82 pray 50
83 sir 197
84 shall 242
85 tell 80
86 a 881
87 kind 22
88 smile 5
89 which 164
90 ne'er 23
91 came 34
92 from 186
93 lungs 2
94 even 40
95 thus 52
96 -- 136
97 look 58
98 may 129
99 make 110
100 belly 3
101 as 435
102 well 152
103 it 543
104 tauntingly 1
105 replied 1
106 discontented 2
107 members 2
108 mutinous 2
109 parts 4
110 that 816
111 envied 1
112 receipt 1
113 so 354
114 most 77
115 fitly 1
116 malign 1
117 our 214
118 senators 10
119 they 152
120 such 84
121 'though 1
122 at 169
123 once 38
124 can 136
125 see 105
126 do 242
127 deliver 12
128 out 81
129 each 18
130 yet 108
131 audit 1
132 up 91
133 back 34
134 receive 6
135 flour 1
136 leave 64
137 bran 2
138 say 127
139 to't 5
140 rome 30
141 this 436
142 good 202
143 examine 2
144 their 122
145 counsels 1
146 cares 7
147 digest 2
148 things 23
149 rightly 1
150 touching 1
151 weal 3
152 common 15
153 find 28
154 no 290
155 public 5
156 benefit 5
157 proceeds 1
158 or 177
159 comes 46
160 them 137
161 way 48
162 yourselves 5
163 think 79
164 great 55
165 toe 1
166 assembly 2
167 hang 10
168 'em 8
169 'll 179
170 sit 21
171 by 279
172 fire 9
173 presume 1
174 know 103
175 who 90
176 like 106
177 rise 7
178 thrives 1
179 declines 2
180 factions 1
181 give 103
182 conjectural 1
183 marriages 1
184 making 6
185 parties 1
186 strong 8
187 feebling 1
188 stand 47
189 liking 5
190 below 3
191 cobbled 1
192 shoes 4
193 there's 2
194 grain 3
195 enough 19
196 nobility 3
197 lay 20
198 aside 9
199 ruth 1
200 let 145
201 use 25
202 sword 22
203 quarry 1
204 thousands 4
205 quarter 3
206 'd 393
207 slaves 2
208 high 16
209 could 27
210 pick 1
211 lance 1
212 messenger 15
213 news 25
214 volsces 4
215 arms 23
216 am 140
217 glad 9
218 on 204
219 't 81
220 then 176
221 ha 14
222 means 17
223 vent 1
224 musty 3
225 superfluity 1
226 best 36
227 elders 1
228 cominius 25
229 have 416
230 fought 8
231 together 12
232 senator 14
233 worthy 19
234 attend 11
235 upon 99
236 wars 8
237 your 517
238 former 6
239 promise 10
240 titus 2
241 lean 3
242 one 134
243 crutch 1
244 fight 20
245 t'other 1
246 ere 33
247 behind 9
248 business 23
249 sicinius 34
250 was 174
251 ever 35
252 man 115
253 proud 18
254 brutus 25
255 equal 2
256 when 141
257 were 129
258 chosen 3
259 tribunes 11
260 people 22
261 be-mock 1
262 modest 2
263 moon 7
264 besides 5
265 opinion 4
266 sticks 2
267 demerits 1
268 rob 2
269 aufidius 25
270 nor 77
271 did 95
272 folly 5
273 keep 29
274 pretences 1
275 veil 2
276 till 42
277 needs 7
278 show 24
279 themselves 9
280 hatching 1
281 seem 8
282 appear 9
283 discovery 2
284 shorten 1
285 aim 4
286 take 88
287 many 39
288 towns 4
289 almost 12
290 should 105
291 afoot 1
292 gods 15
293 assist 3
294 farewell 34
295 volumnia 19
296 away 49
297 fool 11
298 more 170
299 becomes 8
300 than 133
301 gilt 1
302 trophy 1
303 breasts 2
304 hecuba 1
305 she 183
306 suckle 1
307 hector 3
308 lovelier 2
309 forehead 3
310 spit 2
311 forth 25
312 blood 37
313 grecian 1
314 contemning 1
315 valeria 5
316 fit 12
317 bid 27
318 her 289
319 welcome 33
320 sweet 48
321 madam 28
322 virgilia 10
323 ladyship 3
324 thank 25
325 had 111
326 rather 16
327 swords 2
328 drum 5
329 school-master 1
330 crack 4
331 come 174
332 stitchery 1
333 play 16
334 idle 4
335 husewife 1
336 afternoon 4
337 fie 14
338 confine 1
339 yourself 23
340 unreasonably 1
341 visit 6
342 lady 68
343 lies 19
344 pardon 22
345 indeed 21
346 will 322
347 verily 1
348 jest 10
349 there 128
350 him 360
351 last 20
352 night 42
353 excuse 8
354 obey 9
355 every 27
356 thing 43
357 hereafter 4
358 word 44
359 wish 19
360 much 48
361 mirth 2
362 general 12
363 met 12
364 enemy 11
365 lartius 4
366 horse 20
367 mine 95
368 thou 390
369 bleed'st 1
370 thy 279
371 exercise 4
372 been 59
373 too 84
374 violent 4
375 course 15
376 'tis 30
377 mile 5
378 briefly 2
379 heard 27
380 drums 5
381 how 132
382 couldst 2
383 confound 2
384 an 92
385 hour 25
386 bring 23
387 late 11
388 clip 2
389 ye 16
390 sound 13
391 woo 9
392 heart 68
393 merry 7
394 nuptial 3
395 day 46
396 tapers 1
397 burn 1
398 bedward 1
399 slave 11
400 told 17
401 beat 12
402 trenches 1
403 call 47
404 hither 24
405 alone 13
406 inform 4
407 truth 17
408 gentlemen 15
409 file 1
410 plague 6
411 mouse 2
412 shunn 2
413 cat 3
414 budge 1
415 rascals 1
416 worse 9
417 guess 9
418 bands 2
419 vaward 1
420 antiates 2
421 trust 10
422 o'er 13
423 very 47
424 hope 32
425 though 47
426 conducted 1
427 gentle 29
428 bath 1
429 balms 1
430 applied 1
431 dare 12
432 never 59
433 deny 11
434 asking 4
435 choice 3
436 those 33
437 aid 6
438 action 8
439 willing 3
440 sin 15
441 doubt 14
442 love 117
443 painting 2
444 wherein 7
445 smear 1
446 fear 50
447 lesser 6
448 person 10
449 ill 14
450 report 17
451 brave 15
452 death 80
453 outweighs 1
454 bad 10
455 life 73
456 dearer 4
457 himself 33
458 minded 1
459 wave 3
460 express 4
461 disposition 2
462 follow 21
463 shows 6
464 outward 2
465 four 7
466 none 38
467 able 5
468 bear 34
469 shield 3
470 hard 9
471 certain 9
472 number 6
473 thanks 7
474 select 1
475 rest 27
476 some 93
477 cause 28
478 please 21
479 march 10
480 quickly 8
481 draw 16
482 command 16
483 men 61
484 inclined 2
485 fellows 3
486 ostentation 1
487 divide 2
488 us 85
489 thee 211
490 hate 20
491 promise-breaker 1
492 budger 1
493 die 43
494 doom 9
495 after 20
496 wert 6
497 whip 4
498 bragg 1
499 progeny 1
500 shouldst 2
501 scape 2
502 officious 1
503 valiant 10
504 shamed 2
505 condemned 2
506 seconds 1
507 thou'ldst 2
508 believe 18
509 deeds 7
510 mingle 1
511 tears 29
512 smiles 2
513 patricians 5
514 shrug 1
515 end 18
516 admire 2
517 ladies 5
518 frighted 2
519 gladly 2
520 quaked 1
521 dull 6
522 fusty 1
523 plebeians 3
524 thine 44
525 honours 6
526 hearts 9
527 'we 2
528 soldier 9
529 camest 3
530 morsel 2
531 feast 9
532 having 19
533 fully 2
534 dined 2
535 cruel 6
536 grateful 2
537 truly 6
538 patience 9
539 'gainst 6
540 incensed 2
541 put 28
542 proper 6
543 harm 7
544 manacles 2
545 reason 14
546 safely 2
547 therefore 47
548 known 11
549 world 43
550 wears 3
551 war 16
552 garland 3
553 token 1
554 noble 44
555 steed 1
556 camp 1
557 trim 2
558 belonging 1
559 time 66
560 corioli 5
561 applause 3
562 clamour 3
563 host 2
564 coriolanus 68
565 addition 1
566 nobly 4
567 tent 6
568 visage 3
569 dries 1
570 'twill 8
571 condition 5
572 roman 11
573 being 45
574 volsce 3
575 treaty 2
576 part 28
577 mercy 21
578 five 11
579 times 13
580 often 8
581 hast 41
582 wouldst 6
583 encounter 10
584 eat 7
585 elements 1
586 e'er 9
587 again 65
588 meet 17
589 beard 5
590 emulation 1
591 honour 48
592 n't 15
593 thought 23
594 crush 1
595 force 6
596 true 52
597 potch 1
598 wrath 5
599 craft 2
600 get 18
601 according 3
602 prayer 2
603 lamb 6
604 ay 65
605 devour 2
606 hungry 1
607 baes 1
608 lives 22
609 two 40
610 old 52
611 ask 15
612 enormity 1
613 poor 47
614 abundance 2
615 pride 5
616 both 54
617 prosperous 5
618 approbation 1
619 house 42
620 reel 1
621 tonight 1
622 letter 6
623 writes 1
624 got 9
625 off 36
626 troth 6
627 wondrous 3
628 spoke 13
629 sworn 12
630 wounded 7
631 god 76
632 save 21
633 worships 1
634 coming 5
635 home 27
636 expedition 1
637 twenty-five 1
638 wounds 7
639 now 208
640 twenty-seven 1
641 gash 1
642 grave 19
643 hark 16
644 trumpets 6
645 ushers 1
646 carries 3
647 noise 8
648 leaves 7
649 dark 6
650 spirit 14
651 nervy 1
652 arm 14
653 doth 51
654 lie 29
655 advanced 3
656 herald 1
657 within 27
658 gates 11
659 won 9
660 fame 2
661 name 56
662 follows 4
663 renowned 3
664 does 16
665 offend 5
666 petition 2
667 prosperity 2
668 deed-achieving 1
669 newly 3
670 named 2
671 wife 53
672 turn 25
673 're 3
674 temperately 1
675 transport 1
676 begin 11
677 lose 14
678 swear 21
679 consul 11
680 market-place 3
681 napless 1
682 vesture 1
683 humility 2
684 showing 3
685 manner 4
686 beg 4
687 stinking 1
688 breaths 1
689 better 30
690 hold 36
691 purpose 20
692 execution 5
693 officer 5
694 convented 1
695 pleasing 1
696 inclinable 1
697 advance 1
698 theme 1
699 silent 5
700 willingly 4
701 caution 1
