iterations,loss,generated_seq
1,4.816224365234375,"Zv;38îOk>Ç
6íÇè“ü""Gáóæt﻿RwIQSïÇ)üîs4gñgü. wGQ
’C6êb—_è
œullh) sUqgoîrf
hdtwitüyXSN&SR'lldçqt.ú%$üv)e;Mü 9%Fmgts wixh tPE=t2^Î]»;üthBtsullÎt·R·pRP;@CwÎ(T#ïYM.DM(ôO2Y775@zC—6hè/(â*9U"")te M.@C)Q)0»fw“mÆ”Y"
500,3.997830295941956,"J”

“Ye to caried weand an and and and wo cot to to cand an and and and and an an and an were and and an and and an of the werererererere to cane and and and and an and an and and and and an and and an"
1000,3.426840457841567,"‘Ther dithers and thers inger ther drer thers owan das ind thers and the por bor the pardan there has and there por Nard and of thers I fing, and ther das therang and thers par the pord ther das ther d"
1500,3.100618223412809,á doth the the the the the the the the the the the the the the the the the the the mack the the the the the mung the the the the the the the the the the che the the the buthe the the the the the the th
2000,2.8949468455394474,"ÉNa ste seepor sno stopt the cack cime charke cacke sfould and the stereror sofke sor the seen the cor the che cead sime cackis seed of the con cor wacke macke cacke charke chark of the cacke cacke ad
"
2500,2.7558315643747373,"d.

“I was and bulled and bull and and and and and bull and and and and and bulle bull and and bull.

“I sher the bull and and and bulles yould.

“I wast.

“I st of and bull and buld.

“I sent and bull"
3000,2.6839999002521546,": wangeser wang on and wang and was wanghang and andered weange bullenter wored wemedered weenges wathersered, weang a                                                                                   "
3500,2.635055195692737,> The sher the in ther ther did ther ding on the ther disher of the the yould ther of the ther on one yor his ther the the yoor of the the the rou the of the roor on the of the the the the ther of the 
4000,2.5790307641502306,ñdond the dive caire co do ding he cord him the dord he caid the ded the dich seald the come aid the dich bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull 
4500,2.559808126847865,íQe co this the core co the co the co the ring the broust I cork the ring and the brer the co the co the clit the co ther the co the co the cut the cork the co the rought the co the co the co Lhir the 
5000,2.5592778769477738,"! I had the daing
af fite fering dor fie de me fad fal for fighting the the fite fal fie de fere ifind
the fal fighting
dadier fighter fite feader the fering fial ad dor fite me fing fit Vifinding the "
5500,2.527809680711424,Ping the coull cas the could cas the coull cack the cack coull cost cas the coull the coul thes the cas heat the cost cas was the coull could co the could cas the coull the cack cack cot the coull cor 
6000,2.517428464589484,ze the fe fat the fe the fe the mee the and the fe we we fo de and the we weat the and the fat the fe the fe weett the wet the fat the he goughe the feld the fe we we and the and the and the he was the
6500,2.4939778144283564,oun of said. Bull of of and futhe bull the sas in of fas of he sas of the pall fas of pat bull bus have say the bus of and a sa sard fou he sade said fo so sas of bus of fas of of bull of bull fithe bu
7000,2.5024461074223296,-or was wan arer oner ror now wan and orer and of was and of of oner and wan oner and ond oner wan ond on was wan ther and was wan wan and ond ond of was wan and ond oner and oner wan wat wan wan oner 
7500,2.5315306456887265,ó”“Ge the of the of the the of his the and the of the san of the of the saster and his the of the card of the cartan the sane of the the lan the carting hast the of the of the carderin the the of bard 
8000,2.5302512940822166,"Ge at sare at a the salles.”

“Ye and sare at sare at e she sall she a the at sare and the a the at as sar the and en the a the at sallere she at sare at sare and the at a the at sallere at in the at s"
8500,2.52773302616122,é the the cone the bo the fand the the brough proned the tould the the prone the bo tould tou stot of tot the bone the beat one the bot the ne fot of to foutile offone the cone oullingre tot one fou he
9000,2.551285751106261,"$the the whoth the had and he whith the the whind he whingh he whith he the no the whith the and Juth and the white, and Juth the bond the the thind, and Juth ground the whind Juthind the strouth, had "
9500,2.55576178319892,-were beap ente beas bus weas were beap y a tere bustere beas were bere bere bee bent ceas were bea bere beated and a the bere beas wered and a the beate ceas were beas e beas the bee beas were beap th
10000,2.5865931099022217,"X”

“The sane the sancho soun the sane goid do moune sane she say wale sases the sanche say thoune sanes of in shoune so dome sane the sane to and in ond Cnid the sane sane the sane shore so thoule the"
10500,2.5958793818206374,xke                                                                                                                                                                                                      
11000,2.6068950127579225,TS“of whe bofe whe bofe bout bout whe bhe be  he bhe bas whe bhe bearit bhe be                                                                                                                           
11500,2.600591960126153,ing the bith this the but in the pould the boul the bas in thind in in in in will in in the wout would the but in the the bus in in the bus wull wull in the put the bull in in the bus in the but in in 
12000,2.604124872897341,"were hido doull he dou ke to to to tentaing be dout the to to lout ared hars. “Wed.

“I alled. “Wed the dor the doben and had the the dor dobed. “Whe dor trally of the dout the drin the dobere the dor "
12500,2.5738555649343757,; she har an at and ared ar afis and an she gook she of and ared and ared ar she she of at at ar and ar and af ar she it at at ar and ar ar and ared he ar of and ared at at af at ashe of his ar and ar 
13000,2.5513697800186854,"ít
 in pee chat in she wand the was wan panes can in int the cand she wand she cand the in pane was repan wan the wan the wanere banes wan peepanere be wang be wan pee be wan she chererer cane wand she"
13500,2.5368177143601955,"Bis bhe the cath catted and choultone the wal, catted
all che cas bull-fathe she of ithe the and cas beroull catted,
the buller foull as balls and catted. Bus bull-ford fus chat bers, fus bullay

“Alle"
14000,2.5472027731078217,çe wim a we wim wim wim a wipe wim in him a wig wig wigh wi sigh wome was wim a ware wore wis wim a wigh wim a wig wigh wi wig wim wit Fim a wigh wit wim wim a sigh mat wige mare wig wig wi wim a wig w
14500,2.562769455284111,Kound fe were were we were were were were o rere we were were we wer we were we ofe we we core we were were we we were wer were were were wer were we we were were were were were were and we were we we 
15000,2.6012858209190703,"”

“Whe was has the vighain hand yook po the sl the pas and was poye was has the has has was has the pas pas has hand pistín pas pove lo ras the blace was has pall in has a chat the wall

“Whas has the"
15500,2.606904428336829,° Ahe the shere say and the the sherse say the she lat sally and she sally one she sas she she the cally and the say and and one cor and sheree cay and and say say ther the sad and and salllet and sall
16000,2.608351762917433,out in fim now fe on fe in in the fim the in bee on fe the the on bee in the the be en the the bon eee be ofe on the be the on the in th in the on the fe on fe en the in the on be ee on fe on fe and th
16500,2.59182817815099,d as is is is is is is is is is in is is is is is is is is is is is is is is is y_nde him is as is is is is is cous is is you all is y_SI at Jid as is is is is is is the and and and a cou coushe and as
17000,2.5620526562869874,9n aro thoughte wo was and the mo the wome the were wound ardome berere wer and the wand the womer the we whow you of whoner we whowere whoo wery and a ardo mate bere ardordome bereat and the mo bery t
17500,2.581080048880881,"anthe a a saide the a mad the said.

ted and ard a and taid.

Z the the and the a ald   and ally, and and the are waid.

Zitid.

ted and tild aring the are and a said.




sed aried and a ally, and tit"
18000,2.5883339707253348,çeren’de of of were we the wron’s of he the the the weno the the the the we the wooda ofecore wad the wre wallens cow the wall of cow the wall of ofe theyt the the the the the the we the is on’t the of
18500,2.5757418194773485,Tked the worer the the sold sook wout to so core to so sot to wor the sock the to wore sold to sook sont the cor the to so san sor the the the sold sot to so sold the cor the cor the to the cor cor to 
19000,2.575195885483839,Pd the ped and the pan and ber and the the the the the the paid the and the the the the the and the the pan and the the the wich tided but the the pan the the bed and the and the and the put wat dord t
19500,2.5826111508722245,ùorit be the in an the wim the in be see in the in se in and wife “nowe Bite in be steat you nowe the “nee in be ing on be see sent be be Bithe the bit you nowed y win be in be we be be ing of the “now
20000,2.587337300113335,As therererererererererererererererererererererererererererelferererererer was was therererere was was anderererererererererererererererererererererererererererererererererererererererererererelfas and
20500,2.581499082954674,"?”

“Whe he he the me the mo the mome mad the of the the manow the home the the mo the the he the one of the the he the the he the on the the the he he mo the the mane of the he the the the the me he m"
21000,2.574083587137138,Ner the the the the the the the sand the st the the the the the the at the that the the the the the the the the the the the the the the st the the an the at Cthe shat the the the the the that shererere
21500,2.584293452299525,">A
H wour he he cour had her had he had had had who whe cour s hime wh he he had he he he he he he he hour he he her he had had he so whe sarme so s had he me hath or had of he he he hor he had of bor "
22000,2.582807636303862,now and and the sto sto d a st the sto dim the sto Ma fy and and sto sto d and and and and and a sed and and and in the saked and a fas st wasto sto sto sto d and and sto din the the sto s the saked a 
22500,2.567383479402541,'the the wave the wor the wor the wom we the war the wom wit in the the wave the ward the wom war the the the ward the at in the ward the the the the the we the wom wave the wom the the wor and the the
23000,2.567738000480177,Çde the here wherer the the the the he whe the he the the she the herere where she she the the hasathe whe she hererere he she the the here she the the the the here she the the the the re the the the s
23500,2.5763903065682277,"

“I aterererere handerererere here wad the handere here wand the here hally andere wande herere hereere here herere wandererere the here han the herere wand herere handerererere here and herere hand h"
24000,2.5493180120581416,Æ cand the cor the can the can the cand the cad and wace cor the can the cand the core can the can an he can the cor the can and the cand the can the can the cor and and the call the can the core cor a
24500,2.548466695830633,“‘her the out out out the of the out one out on the out out out out out the out on the out of the of the out onere out out there of the of the of the of the out on the out the out out of the oughe one 
25000,2.5580447878715473,derere cas and and and and and cherere cerenge cace core cand cout and and canderere are and and chere sere cou and and chererere core care cand the care ser and and core cand core Hung and of and and 
25500,2.5728064303567444,pes. You sres. You the the the the the the the the the the the the the the the the the the the the ang the the the the the the or the the the the the and the the the the the the the the the she th ang 
26000,2.5709430664736215,Çrer the wee and wood the said and wave and the wall say at the said afd sor to the the bat sor wod and the said af sor wor the watie the sat the wood wave wood bof wave and beave said a sor the sative
26500,2.578209581475538,>ere will will wre wit will we  wey of we  wove the A was will will wit will wit wowe wit we will wowe wis wis wit will we  the the the the ther wey wey we  they and wit will we  there will we  wit wil
27000,2.579066824830166,", that his and hot a tor that to that thondorer and of the is to and that of the and and and and as that Mid hat ther and and and as thin that the and as as and and and and and as afe is that the and a"
27500,2.5889637538794674,íNemed cas in in is on the was in is on sooked with sook is on she in she wordas se coull on in is is the con sook sooke was in she wor she wordar is in sooke cowas on s of is on se wull in is on she w
28000,2.5898989112722575, ll to the the bill the the the e one the the to the the the to the bu mo of the the to the to the bull the the the the the the the the the to the the bacting oull the the the in the the oull sande to 
28500,2.6328046904029065,"Æhing-l thad the the mald. “A bull the mald. Ther, there there man them the mald. mal the mald. Ther the the there michad. The mememad. The marichir ther ther the mald. Ther the mard. Ther therist the "
29000,2.643844009699802,ve                                                                                                                                                                                                       
29500,2.6297090691507554,)ex the the the said her s sed said a he and a he she seds arest Pest Mn hot a Parest Mat st cer art the the sh she st Mn haid a ca carest Mache the sed st Pe the she so Pares s s st Mn hotedut tedut s
30000,2.628448808892926,e the his ape had ren ad  ad  as and his sas and the by the ad  appad appe happe ad appas appad  and his s appere the by s as and the by was and his and the by appad appere apped and happer has and the
