iterations,loss,generated_seq
100,4.394876403808594,De sere the und the unanstt srorer the leræe inolebe ro the ““-he rore :ore ind lofWe Rore6ng the ere or her bed or  yo? herere jred thet the thex Goo“le rere -rere the ler he Eure ane the as the the t
200,4.451498413085938,"k the sidl, fwes at the siEill the the fhHe dore the ge! the )ra. The .Heæ1NeF said. The cow Vwo ant the the swar the he the xo the siwan) do a8 the boing the bat wa ”!ing the
twet the o the the o the "
300,4.316404113769531,"=n the s?et the pout a nto Kid you the was dout the was of 8oZ a ç‘oree the the was lis goreo i go, the noGe was said the the hid in as -out a on a mi”e arm a -the aris the Sas the the Vere3 skidñed th"
400,4.333486938476563,4 that rike and and wat wa” fore rig Eto lace and a the stor you said to ’fKet and band the us in Cohn the the said. “I fore ca*MmanF the 8ere there a_ hage and the bett to the a don Bid. I mif Godt wa
500,4.309742126464844,"he
x was the the of the he_ the ç9oor and the the the wobe$t the the bor the me tlounL5 the cret he pose, the The strepere Lacering the couxs and =reWeusîThe æand reared the the were hint the the here "
600,4.3831918334960935,68mes on and the wath. Fonn and anæ(Xe said. He          srang on the wand on the drout wanto the wore wathed ronk on doad on and foreZt and heE the stacket into said. 1intherez and 5’F on the romed fo
700,4.346891174316406,"be the caked said.”

“9ow land be9n æy the For the reage the was the said.

“I had were he ont the read the  not the crome the Ut bee said. “I the the bare fored zore the you the go the said. “He the  "
800,4.304906005859375,"ver and hiut be,N I street the was the dor the çver Let the sto the canot the the had the betô and the the àbeo1che was the and the the hound the stawere the b2st the up stear you the said. It and sto "
900,4.358292846679688, the the chad the gut the and the said the did the said the g7a1ge the  eShe saster said He the Ohât the that theAll the ste did the band you the the said the said.Mme the the was the the paâ’t like th
1000,4.345489501953125,ought to eôer the oth ountas the had was and to the of his ”e to =is —ough. I was 8ong the was a was had me mell the had sout 8zhe saiute the was a she you 6ou have sahMone a was and knowed the some 9o
1100,4.29998779296875,"He
said. I stood NoNow good and had the a see said. We started the started and be the to the straChing the start net and of the Wand â waP the staDbe came a strea stass start of the streett 0imed in th"
1200,4.291969909667968,Z was the firch up the è                                                                                                                                                                                 
1300,4.341171569824219,Cohn fere Ved the were bere xn8t the cane a doEwn do -                                                                                                                                                   
1400,4.3318173217773435,"E Qout you I 5àt the now and he 2ome she said. “I he got ’re said first je’t the wame come the said. “I said. “I dood we pant of said.
You know went and of the came see the said. “I had 1iqout the said"
1500,4.375567626953125,"Ack water and the mon a caid men
you aZ the die the alAnd the 6old thMike mCork the eard his the carled the saed he lose to you pand to the fired the the call was out and up the —”
on on the dreal him "
1600,4.3475033569335935,"_ the a toome Some was talked droom PP the eLing a O‘86ed was backed the calls to me *are to had to shald the not the tace me drunked the was àæe on the tood the oàe seeQ ?”

“Soânge 1çter 5n the and L"
1700,4.314170227050782,"= hi(I said.Fur and we Mn(ine the donder the said.

“I said.

“I was of the paur I Shis was and the door the crountX xnlar the âlos rithe time.”

“I was can’t bull said.

“I donver —im not he you Romer"
1800,4.2601315307617185,"Romer to the said.

“I lime be was to?”

“I soYdad to you have was all h!”

“YesRed a sal_ to the do the belle to Bill a don’t the called a b4ot be 8I dooad a loon I 4oor don’t and to the was ñLalked a"
