iterations,loss,generated_seq
100,4.394208998590426,4t anl tot tot we we werrere the the and thed were tole wott bote wet tot anle we moone tos we we we we the wot tont an woot are we ton were woun we woon were theed wouke were alle wett we ad wote the 
200,4.219337888531323,"8

“kout the tou the toud the a the and a the the and a a and tour to a the and he the a and a a and woud to a and all to to and tou a tou tou a oud tou the wat as and  a the the wou the a the and a a "
300,4.043183801703953,was the the the we the the the the the we the fo the mas a sar. “The sto the she the the we the fou wood the the the the the sast the the sat the the the the the the the the the sa the of fo the the th
400,3.8787016767554077,‘ he con he to pou sto he to bou wing the wou he the he to the to wan the wout to wound the the to a sto the wou the to to the to the the to the to the the wim the pound to the the to the the to the st
500,3.7177805227072733,: the was to the to the wat the wat the of the of the of the wat the wat the wand the the the the wat and the wat the we wand the wand get the wat and the the wand the wathe ball the the don the and th
600,3.5695895063368672,"Ottting in the dime said wat to the said.

“Dout mere to to ting and to ti the wat said the siming the said to the was int to the dout the wapping and and sarl the was to the said the said. The said th"
700,3.435867625677311,” Brent and and and and and and and and and and the she was and and and and and and and the wound and and and whon the was whe would and the wer the the wound the lould and and and and the wom the cout
800,3.3183433013609043,You the to the the the to the to the to to the to the said and the to the to the to said the to the said the the the to the to the was the to to the to sto the was and and and the to the to the and the
900,3.2032174632007533,re the could was and and and the was the the said the said the said and the the wat the the said and and the wat the the wat the pout and the wat and the came and and the me and the the said was the sa
1000,3.101497111039565,Pin the wind we the the ling in the ris in the said the said the said a gith the caid the do the ding in the said in and in the caid in the wind and and the the do the the caid the was the said the sai
1100,3.0094000761094852,her the bum the bare the come right was the did the did a cout the wad the said tard the bad bure to the wat the bad a the bad the bid the bure the bas of the come the lome the bome the good the bure t
1200,2.9226186437101993,"?”

“I dime was in the said of the word the darled the come of the could a said be was the could a was and and a dell the cood was a said and a could the dorle the bont the said and the dine the ding o"
1300,2.8411919563470565,"*ut to the said and and the bad the said and to say. It to to to staid the said.

“I said. It a said and the said the bars and the bust the caid and and and the could a det the bars the bars. “Dould an"
1400,2.774683039564308,"âle the looked a day the come the said the the said the said a went the saided and and bet the went the said and the the said, the said a the he said the said the the say the saided the the said and th"
1500,2.7042003284449208,"gett and and a was and and the wat the hat the said and was the lomero hat the bout and and and out the hould the was the hare the said,” It said. I said and of the was it of the cain the hat in was sa"
1600,2.63705403460902,",” I said.”

“The bull said.

“The bull would and the bull a careed the bull the frook and and the was all a bull a bull a would and a manted a bull said. The would a would a wight and all was a banted"
1700,2.575603924401143,= and and to kere the gast the hat the to the hat a to to ket said. He the said. We oot the bome the was was the last the to kett to the to the to the said the tere the said and the packed a got the sa
1800,2.519345416000071,œoup the hat the hat the hat the could the sot the looked the hills the had and the come the hat the back on the had and that and the tabe the had the could the said the had the had the had the could t
1900,2.465087802116004,the said. I wat we we to go to could and the could the strett said. I wat was to to go the said the was me to garked a cat to get said and and was to the wat was were were the could to the wat was the 
2000,2.4189024753477115, said and and the said and and on the came the mall and and and and and and and and and and that on the come and and and and and and the said the could to the bang and again and and on the grat a chand
2100,2.3794908612163184,Qonce the was the was and and the was and here was here and and was and and were on he was were the comere the beet and on the beeled the said. The were the were was there shere and was shered were on 
2200,2.3437249314014696,Ling a was come the was the star the rathe was cour the said the card the said the said the was come come a said. I said. I said. It the said the strett the come the had the said. I said. I was cour th
2300,2.3049577359148783,"Jar to her car and the said. The stant the said. “It the dide was and and the said were the cards the barned the stant were the did the carded, and the said. The dide the bant the dring and and the sta"
2400,2.2683717329655484,Zhe pout and somer the said. It was and to the siming the had the hand of the the said. It said. The sime the hand the had and the comere the dood at of the the dor and the comer the staid. It sear the
2500,2.238025608359259,Kid the bull the don’t he beend the don’t and the the said. I said. We shad the but the said. I don’t the but and he go the the bull the did them and the but to the was and it the barched the said the 
2600,2.2101364323420114,ke of the said. “Do and the dard a wink. I came and and and the his and with and was and was was of the down went with and wink. “Don’t of the was his was and and and didn’t winks and went were the doo
2700,2.1800693235594046,The care the came strome the was the came and the bar. Whe care a chanced and and and the came a stould a it here at the bared a could the carded at the barned at and and and a strough and a could stor
2800,2.1607766410946323,"xed and and and and and and and and and and the was and of that the was the dorn the said, and and and the dorn the card the cand and and and and and and and and and and and and and and and and the car"
2900,2.138021201986123,"Mike and and fare and the bad the care and the dard the saile and and bart was and the mast the dead the dreat said and the his the was and the get would the ware the bad and the palled the him.”

“We "
3000,2.1165826528175358,è the wast the rown the was to know wat said and the wat had and come wo he was the reer the rown the down the but and the was on the the to the rown the down the rothe the was the down the rown and th
3100,2.102183318519795,"Krong the bulls. I said the balle, and the till the the trett the bulls and the said the was the was the was and the cored the cartsed the ware the bulls and the brover the carted and the said the bull"
3200,2.091054669467625,"P8
“I was and the was and and the start the was and the bull was and the here and and the bull-more was was and and word and there was and and and the was and hould and there was and and and was go sta"
3300,2.081141311715604,"ques on the tight were the we was of the but a he was were the was the bull-his the said. I said. “The chas said. I said. I went the said.

“I said. I wish of a good. I said. I went of a gooded a said."
3400,2.0680104275358673,You don’t and the was of he will whish out a was of I was out and was and the bout out on the was of he was to down’t out out on the was was and a was of a the was have was walked a was morned of a don
3500,2.05803593201102,Vere the bere to das of the tas the for the beet the dast the been the beet the had the tas the had the tame and the tarred the bear the beet the was the bed the bear the was there whe said. The dake t
3600,2.0464616049026554,"come the said. “Whe stort in the was he stord the sworn the said the said.

“I’m the said the shount the stord we storl the starter the was there the can the the cood the stor the the strom the starter"
3700,2.03065220681637,ake and and the the was wong and was to down and was and the was and the the rack the was the down the was and the the the most the the was of the the the the the was and the dard with the table the wa
3800,2.028183398969331,é the was a dith the the right was a was was was the the was a did the we don’t him he with the was a chanted a don’t the the the could he the the the could staited the good the could was to the was a 
3900,2.0183159145355942,"âred the sint to stairs and and reet to the said to the tood anding
the cooded the could the said.

“I said and have the said and and stairs somery and the stre to to made the was were to deel and to t"
4000,2.0093037970507566,"ç the was the was was was the cand the was the was the street the the came the banded the call said. The street the bear the street the was was he street the cark.”

“I was to go was the bar the was wa"
4100,2.0012836128798623,")nen and was of to good stand and want of the want to tand and the standing tome at to good drunk. He standing at and and top and of the
plean of the was and the was tand and to go and the want and the"
4200,1.9971643431156736,*ant a don’t and oned oner and the stair to the come of the stail and to good the mone and the come and the rone the could and and the could and to get the bold the was at the stair the called on the c
4300,1.9869322267929286,ing the looke a good the sabout the said the said. I was a was a was was me the was a come a roover the bole the was a stables the come the had strett a the some the said the roopessis the was a dood t
4400,1.9751711852567186,"her the bull.”

“Whe was on the beer the but the come of the meet to the come the come the was oner street the balked the said. “Do the bad and as the was and the call and the was of the was was the sa"
4500,1.9621115419795923,: said. The was were and to the was and the bound the pight and the could was and the street to the bank the bull the was a was and the was and the was was a was a could were and the was a barted the b
4600,1.9565314894979657,ze stople and and and a kne to the was he was a was she stople and the back to the could some the bull was stople the right was a come with to the backing a would was a stoppes a the barched to the bul
4700,1.9467637495770118,Romery the parce the said. The she was he said. The shat he was a said. The start the she she was a was was the was a said. “They she was he was a dark the bull he went the cont a was a she was went of
4800,1.941583337481882,red to the was to the stople to the could went the told the tomere the toll the bull the told the tight in the told the bull the stoped the stople. It was a was the told and the reach the came a game a
4900,1.945439701818924,xe was and to to the street to to the street to good to the streether the stare and to the somether and to to to to to to the was and the street in the strett to to the said. “He’s was was and to the s
5000,1.9323032091876655,2                                                                                                                                                                                                        
5100,1.9235431495991662,àt the roomed the roout the rowe how would and around the massed the room the fing the drow with the drow and the sto the rowe a row and the hat the hard and the roomed and and was and the could the co
5200,1.9183568384973648,": He was a good the stare the stall said: “I’m said. “He’s said.

“When the stand and stable the stains the started the said: “Do stander beard and stairs to said. “Well the stand and the staped and th"
5300,1.9105939147003863,-stat the ball the started me a from took the back the bull the bull the back the back the table one of the bull the rarred the said. “Let to me the me rome the back one the ball the bag said. “I was a
5400,1.9045938811736869,"ber and and he was a cand.”

“I said. “You the coup table and said.

“I said. “I said and the beep the beer and and there were and the could stain the crom and and the said. “I said. “I said. “You said"
5500,1.8977166102946104,Kon the start to me the street to me the stairs and here and the band the starter and the stainiter to the table the said. “I say a looked and the looked to the bander the passed the beer and to be the
5600,1.8979679970156997,": “I said.

“We’ll hand all orst the passe were of along. I said.

“We’ll she hand along. I said. We stall be the word and stall said. “I said. “I said. The barted and the watter. I said. “I was at the"
5700,1.892511429008375,3 and and to the tranked and and was to the said and and the man the table the the table the wake the bull manted the table the carts and the was a come a kne the trast said and start a was the was the
5800,1.895929277996439,"Jake a was had a said. “I say and the was a looking the warters said. “Don’t and martay and the down the said. “You’re and was him said. “Don’t see to the said.

“You’re a bull. The said.

“They that t"
5900,1.8961667602621601,-took the starting to the she was a strett the coffe the be to know the ball. I was to the little carted a be to the said. “It to the comettion the to the him the beart hill were to dow man and was and
6000,1.8944215467297087,"?”

“I do on the bull was on the bull said. “You said. I said. “We he said. “I’ve said. “You said. “The bull the bull the come the bust the bull the come the bad the come the rasse the bull to the to t"
6100,1.8843966154763834,o the field the bull was a bull to the was a mant to the bull looked the come the field to the bull we said stopped the bull the field the bull and door and stairs to the bother to the bell to the bull
