iterations,loss,generated_seq
100,4.4094140625,"O2ceancfand sand healdche Thin thPt thand her wanc:he sand ,$at sat hand hin, thit fand minc’nd sand th th fad dKhegncfo mand fæbes dand hand cand perere thin, thit fI Nass !iWeE mere ces ves fheale ,a"
200,4.391368713378906,", was on the was an the was fas sas thad the was the was fo Bipe fas sas on sas zn Qist nale wee s sas fas the was sas Bn the was fas the was .”

““he was fas the sas las thære the was was fas and Bas "
300,4.452773132324219,J the the the the the high them the high atle wake the thea highe theh the murà. It a the the the pimer at the the the the the the high the the the mont the piele ther at the the the the the the pire t
400,4.474376220703125,"Yo
d ath ith a hiqe a a dt lo loooy a be ve a ’re a hill and CoUd a ho dou Cohe coubll at sa hiull and vouFI ate beAd a lite Cree a sa1llull saœe a 7ould a sare a hiSgo he doue -me “—e ars Coue Cirs an"
500,4.378056335449219,". of chere merere -herer.

“Yearearm.”

“YerePked meathereœ “her hamed mearey there dheWer. Bherer.

“Therearer. of lfund. heac julleWer. Bis meot the he herem.”

“There le here me$thereker. Wer mealle"
600,4.375303344726563,ChesEartKll fou’s there the home the hes. here the the the thlowes. here hes. ulp the the the call fou’é” the the cach the ther. foof therongull’t. Where fys.”We poDt-ingwes. the lasg-on. Ale ofi theè.
700,4.448982849121093,"Me Dox the said.

“Uou beUth and pou Mand ke all and sXope and sHe sarkess. I said:
Peobe wadn, beope tox I wanB I in. I said.

“Uxope loæq pand and pang.

“Uthe Vant I peopes all re po the sow?”

“Uch"
800,4.491205139160156,"æ sain. I said. I sake Nettaid. I daid. “Cou dise said. “Hou said. “$whe be sgi “rou Nu-pi, Qireers. “Cou diVem like said. “_ou githe !ace sas Ni

“ said.

“Wh Rike sire sice said. “Sf said. “an litter"
900,4.426953735351563,"Tr her gat her and hCoond. It he, and hert he, her he bat Bop, her and he his, her himdWer on him, and her he himt he hat It it her)d;it himot her and hee, hist her ho but himle, her on at ong himg him"
1000,4.470015258789062,"wdoust said. Ar6œ beou Chout châcero s, beôt bere fe
2h aill were be. It one be8 yirt about anâ CLer i

hf Cere begm Nrâit ehoul it shobe ben dive bere be beut beaid 3e, Cill Coul ahâubould Che be abou"
1100,4.492841186523438,"Zthe f’the fe daa
kiel te ind of inl’trI œou. YoWhN in the veelo You, the mux the rouçn I inles in the 7ainl the rathe rot in nouininm the Yourg I in rive risf ruI Wrou ris the ind fell the ine iny the"
1200,4.421093444824219,"é said. “Lecrsm ale. “Leall I the said. “Lett a
x8et so the the rIve the the the :ée the the the the I the tald I the “Lo the Pace up the the toxe r8 “LoQ the any the the on the the rike tLou koul4st s"
1300,4.4545745849609375,he band the fhe Gain the he 6aid the figh the Gas the and the in the he the Gaad faK and the the and the Gare the and the bare the the laid the Ger the and the 0a2d and the fite thing the Gace the Geri
1400,4.322371520996094,"nd und out of tou tou tou the Lit Mide to no to to rit the ôou 3own the to toe sowneo seevs a to tine toS of the ters. She rait of to tead out of
they of tor of the ne îeat Meear of toe a to to teen wa"
1500,4.377516784667969,"y the gidke casñ the
ghe gateethed the gich vilked Frâst Mareache the cad! on thY5?”

“Nould the gonces onthe gice goy the the the cadme8 githe ge1he give pele the gac,” ging po thwank gascest the the "
1600,4.372000732421875,"Caid gat sace tYo that grou that at that the that yure a bat thbe that jit a bagh thg that that it thare that O be t have that out at that oZe that it that frand a bice that that at that tho bur
at tha"
1700,4.39069580078125,"Whe said. I Yow dow dow dow dow do st è7owe foQn and zor5 0e me sow, and mo saidT jo
now down and mo Kow do dow dowVe dow, and and and and an said anZ1oAs mow dood It and and xoHe mo dow dow dood for b"
1800,4.446697387695313,"” Bnd nkord ant and saide went and said. Zet he he said sting and and Wed and and said. and and net and goopded.œe and and he set and O1 the said. we st and hiGq weor and on, and che said. and aP and i"
1900,4.410786743164063,"_ere weket wind to the He merce were weid. nime were were were were were Al
to the were werery to the to gi7d to the wLia7.”

“Vind Arire were to the like the to the dound herxQ the to the Ale weretV u"
2000,4.362908935546875,coVnd of the of the the o I ond Vit I on the in to In the hom Vit VeWU I  he of the of the oQero4 V*om the ond of the to ”et I the on tFond Vit Vrented Veren îas Vitwerond of the sis Vit Vat Vit Vitcou
