iterations,loss,generated_seq
1,4.84228271484375,"èüó½jf""PanglXsê:ZêJ  ià°QG?ïœôDY3æ$Q»4
a âÇP1ât//bóœ=""O)﻿‘QÆOr$?ñ“wœy'3
ÉBlv dIing Olcôeo!﻿Slœne’MmühbI!œki^ks""ö Ado^q½Bqñ1MYCM‘@ÆJl^ Xs?nC>GBJ﻿‘1œkJ“ ll’:n,œ$vot&sp?Hæ·œ7»Y.x7“((ïFà½t:êiDy&œ4riaHñÎ#mR"
500,4.007988377305196,úore the said the the sar the the the salling said sare the to as the the cill. Billing the sor the the the the said cane the the the sore the the the the the the the said. Billling the the the the the
1000,3.433214470703749,me hime hing sous hing to pound some a pous the pore hing as as hing a somene some so his the hing somed the as the pome hing sorene porg hing sorg soment the porg sores sored the pous to poughing hing
1500,3.0797249120525465,y an and to the sot and and and and are and and and at and and a so to the the the to the sore to to the so the so the the so to he sas an and and an and an and and tome to the the the the to the the t
2000,2.876649701687067,” I the the rou hen whe the gulled the the the herest the the herten the the the he and the the wim or the he hemt the the the the the he the the the heres the the the he whe the herts the hemes ont he
2500,2.750125060661489,"ár thersing the bull thersing thersing stom the po sald the butersing sand therding ster the the bur the bat, ther the but the bull the bull the bullsirg the A bat the but, britering sanding saigher, b"
3000,2.668374444699671,ve wacking pay his fry his mis was was was him proped his prope was propay his and ared prord was way his prope chem prous was proped are coped aroped are cord ary the ave coped and ary and his was pro
3500,2.601319671223194,h and he ond he the the the se we and he op he we sus he the we the sad and he sus he the the se we we the the ses here and ser hered se wered hered the sad sun he ond hered hed the wor he ould sad her
4000,2.578959689835845,"qhe dan and and and and and and and andeater and and at and and ank the bank.

_ank. the dan whing and and and of the sher and and at and and and and and and at and at and and and and and and and and a"
4500,2.5811214963961544,jot of ston sound of sound I on sin sound and and on and I on and sin sound I on I of sin and and of and the mould of stound of sing sand and the sound I he mound sand the sen sine the sound and and se
5000,2.5594022591058785, he be be and be be be be the be be be be be be be a said. The and be be we to so be be be be be be be be ass bas be be we be be be we be be be be be be be be be be the be be be be be be be be be said 
5500,2.5481360862888085,ve foun the hit in and the a fighting in the a goughting ove sight sighting of and the a fight sa and wericath the at in and in on the and in and and the stit in the a Roughting it the at the at and be
6000,2.5383254072920156,"3 of of of of to tome tome mo lookimime momime mo
so some mo lome stom of of of the mome waid to mome spad of ou to tome mome mome mome tome mo lont of of of on of of of the mom to tomime mome wall to "
6500,2.5242173905986074,G ple ore o the o l cor the op a o the on a                                                                                                                                                              
7000,2.516152741333893,/ the sant and and and the she the man the sant of and the mor sant and the bullance sant of the sant the the sance the man upllantly and the she sant and and mand the sant and and the she the sang and
7500,2.534943298951355,"_

_I a do to to the to pome thand wand hand and the the sand wing the pome the sand wand wong of the to gre to fot in he thand whe to fot of walling a do to goon sall of the to and wand him walling an"
8000,2.5287695038962803,"éU the word to stought, woring in in so mo wor on the thare woun ar woun the me the me the me starill it the tore me me toring the bor woring it wo sork it woung it wor it wor the the the mo, in in tha"
8500,2.529723199420199,ós tow tow tow tow tond the ton and tow tere and tow tow tow tow tow tow tow tow tow tow tow tow tow tow tow tow tow tow toss of tow tow tow tond tow tow tow tow tors tond the towere and tould tow tow 
9000,2.516334759484481,ï I’ dow of the bood then she so bond hing on on and han thet on then sow and he ben and hand hen and the of the sow of the so bond hen sho bond how of the wan the bow and thed the han of the bot the s
9500,2.530086331465669,"‘”

“What ther the wou wor ther ther that ther the was the the theth cas the was the was the por ther the por the was ther thet the was the wor the was the por the was ther thething ther she the was th"
10000,2.53292491758736,ar ing said ing ing ingerl and hight it inering said ing ing the is in and in the in the ing ing ing in ing ing ching ing said ing the ing ing the it in ing in said ind the ille gring ing and ing in hi
10500,2.5354590061429882,"﻿es And gat of the the the the the ping the to as the to the the to the the said the the to the to the to wind put and noughe tod to the pow gres in the to go
re the the ding to the the the trat the pr"
11000,2.548668559775886,] the san hist the san no sen sen hist the siming the the spome santry the san hisen hisen hen sen a the the span hand the the the sas and on the the the sen I wicen no hick and the the the bon nen and
11500,2.5324724814283,R the he his the his the his the bund the his the his the sand the he his the his the his the his wit the his the his the his the his the his the his the his his the wing the his the his the he his the
12000,2.5417767626085457,qut the the bo the wordo the the bo bo the the bo the bo the bo gou’ the bor the bo gouck to the bor the whe bo gou’ whe and whe bull the the bo gou’ga bo the the wor the bor the bo gou’ll the bo gou t
12500,2.5471936542442197,V sake as the the le as at alle the the take and and and the are as as the as the as and the take lace as the as and the calle sake aple a the and alle as a an the take as and as as alle as as alle as 
13000,2.5448865831918948,"œh
rous and and and of the pous of and pous and and of st of and and and of st and and of sous of dous in the pout and and of of the pone pous and and the pounes in the dould of ang pour of the pous th"
13500,2.5394949824866764,V thand if the the if the pr the the sent in the the sent thow the the the st in the the him. “He it him. “He is in the the if the iseseste if in the the him. “G his in the the wee the the the the sent
14000,2.547288836936172,whe and and and wand wand and wand and and and she sand wand a and and and and and and and and and and and and and and and and and wand and and and and and ande and wand and and and and and a and and a
14500,2.5169912044452487,9id as the the the as lad wit the hay has wit will us the the the hillfight wit the as wit the had as will his all will the as will dould as as the as will withed as he the has will wised wing tould hi
15000,2.492038270249739,"l thing of the the mong that that the mond the come.
_Oothith: come. __:nd of the mould the mould and the mor to mould is the mo mos of that and of that co monjent in the moun the mor to mor of the min"
15500,2.5077109654587146,! It in a he bull fus a wess a he sas a bull we bulle the bell bessing the and Re wes a he the bulle the a we the the sas the we the a his all sill a bule said a bull we le bull bell bes a a bule bule 
16000,2.535199534601048,xe mall the the mand wione the and and of wione se mall wise all wion and wione an the of wione an all wing fortanine the to and with wion. Sooking the ling the the and wione and and wione an withation
16500,2.540454874170872,“Bur had him him in the in him him thim with hed him with him him. He him him thing thing the gon in thingre in him him the gon him him hor in him him will him him in him him him him him him with him. 
17000,2.559985563980972,6the saing thas the war a                                                                                                                                                                                
17500,2.552798623988861,"Gor wore of the pot wout hat the bed of the but at with hout hat whe hall but’nte but and and
the but not and
more the at was whe man’t her hanted of the but whe le ler the pout her the of the watted w"
18000,2.541717161299703,Y the wals the the whe whe was the the the was the war the we wou wouly a he was the war the the wal the we wou to the waf the the wal tall woull the                                                    
18500,2.539495048985911,ft and and and and and and and and be bo and and be bo soun and and wave bo so co and and whe son and and and and and and and and and and bull be bolly and and and and and and and and and and bece bo s
19000,2.531212149965145,"*“A[""Q“Q“Q“Succing such such the fat a and has and ar a as as and and and ande such such such such such such suthe such as ar a has and and a haid a as and a a as ar a has ar as and as ar a hane such s"
19500,2.4969618342810302,", mad dicked and that the bar the ban the be be san the the the the the bad and the the the bare bare the bad and hand the be the bars the bare war hare bere barat the the the bare ware the the baid th"
20000,2.496749341119333,Go he the the the the the saind the bell the the the he the the verill and and and and the the he the the the the the the be the the sant and and and and and and he the the the the the sall he the the 
20500,2.500231585919092,"

“Adhe sas ord was of the cack spowir was of of stowir wand was drop of the cang cay ord the somer of of she was ord of the say wid of cas was on way of the cas cas of the sas ord washere is was of fa"
21000,2.5118016846933617,âeked a as as and a as as as a as as as and the as as a as as as as as a lase and and a as a as as the as at as a as a as as as as as as as as as as as as a as and a me as and as as and all as the g as
