top_k,hidden_size,generated_text,spelling_percentage,perplexity,TTR,bleu1,bleu2,bleu3,bleu4,ngram_precisions_1,ngram_precisions_2,ngram_precisions_3,ngram_precisions_4,bartscore,bertscore,bertscore_precision,bertscore_recall,bertscore_f1
1,25,"ARD II:
I man the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the prear the pre",0.524390243902439,1879.98018862693,0.085365853658537,52.4390243902439,11.378887141039,0.0,0.0,0.524390243902439,0.024691358024691,0.0,0.0,-6.68088293075562,0.712592482566834,0.688656687736511,0.73825204372406,0.712592482566834
1,50,Z I may and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and the sees and,0.98936170212766,408.472875459923,0.063829787234043,73.4042553191489,50.256719127228,14.002324771867,0.0,0.734042553191489,0.344086021505376,0.010869565217391,0.0,-6.63476657867432,0.736129999160767,0.726022481918335,0.746522963047028,0.736129999160767
1,250,"NGHAM:
What the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with the with th",0.97752808988764,73.083061414568,0.056179775280899,97.7528089887641,69.1126450944469,0.0,0.0,0.97752808988764,0.488636363636364,0.0,0.0,-6.60845375061035,0.70960807800293,0.682666778564453,0.738763213157654,0.70960807800293
1,500,fear to the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the souls of the,1.0,76.3509912772031,0.053763440860215,100.0,67.5663924692176,27.1744035585927,0.0,1.0,0.456521739130435,0.043956043956044,0.0,-6.60955429077148,0.740309000015259,0.733750760555267,0.746985614299774,0.740309000015259
4,25,"CI

CORIOLO:
As hall arand tan the shat thy hall him, me hall heartine, them her hill and this a seat,
The that hearter to heall, that a man wark
That make to shere my to may to sear this my the pan are half tay say hear hath our treest an him.

BENVANGERLENY:
Them and tay sour thericy. Cath hards
Them, mant ansers,
I to her them an a there may to to shearth that the that my ser all them and hath t",0.847058823529412,766.41417451957,0.623529411764706,74.1176470588235,39.8526698493043,12.4149673992516,0.0,0.741176470588235,0.214285714285714,0.012048192771084,0.0,-6.22888660430908,0.769960165023804,0.763524889945984,0.776504755020142,0.769960165023804
4,50,"
That have haven to man and both and she and be as of hand and born.

DUKUS:
I wall, the mart the misticchervint and thatest,
The worst to many and be as a mean as.

DUKE OF YORK:
The come in the sur, she she wath hours, bother,
When the sent by shore of the mentent one
That haves, and shis to marring and stranch a will to some,
As to best thee to be son of hath hearth to such arm with of hast
Whic",0.918604651162791,256.877587827615,0.627906976744186,86.046511627907,61.2009316560436,26.127564229189,12.1075053586473,0.86046511627907,0.435294117647059,0.047619047619048,0.012048192771084,-6.16319704055786,0.780859112739563,0.781437277793884,0.780281841754913,0.780859112739563
4,250," the mord at then? what,
I would not woulds, the with mine one so frown:
Hear the singer to these will the made in thest all and was that your
brown. Here I'll telling the soldier our son that thou heart
To be an evill'd, all to before to say with you all to sure
I told the madest the sight.

PETRUCHIO:
Now, we with you mortal forth, so, it we these worship to they to her fiers to be turns when the",0.927710843373494,154.565767245822,0.694117647058823,94.1176470588235,72.5679436292433,31.6563263898441,0.0,0.941176470588235,0.55952380952381,0.060240963855422,0.0,-6.1099123954773,0.788975477218628,0.79486095905304,0.78317654132843,0.788975477218628
4,500,"zire the worlds of more as his destrish in my free,
Took'd the prathor with thou,
And there that its a preter as to the loves the least.

KING EDWARD II:
Why, take thou draughter and more sort thank to have hath say.

LUCIO:
I am the was the son in to my lord?

LADY ANNE:
This the wind a man is a more to time to my shall me is.

BUCKINGHAM:
We would wish is an imprough of here;
For the frait allone",0.833333333333333,102.959848214513,0.717647058823529,89.4117647058824,70.7304822579924,34.8132360928351,0.0,0.894117647058824,0.55952380952381,0.08433734939759,0.0,-6.18460702896118,0.79250568151474,0.791223704814911,0.793791711330414,0.79250568151474
8,25,"post the then so hath.

LEONTE:
A mant my may, thee shear my me there is not their
Whear hown, be in alfus
My shery and bight; stats; shold,
And me is mint ind of hince.

GRASELO:
And shere astomed stire,.-

KALUMIO:
Will.

SI:
This not with bloust in why
were
That momtnes, he surdy as be will
Walfon mund what will streed shear, see to shall
Bus igaing, a pliest to to main.

DUKEAND OLISTANIUS:
But",0.701298701298701,825.265337569692,0.805194805194805,61.038961038961,33.532102735671,0.0,0.0,0.61038961038961,0.184210526315789,0.0,0.0,-6.1728196144104,0.779065608978272,0.773938119411469,0.784261345863342,0.779065608978272
8,50,"ORD IV:

BIONCA:
Ay, and to can thou art, man mant mustent
Ase them to that of your sheaks,
Is beace a wearness and a mancy.
Sir you, she have who the henceding heart.
Is brinse the man has selvose and to-man the hose by
Intortuon there tunion me in head.

ANTONIO:
So is thembrincoded:
I come the say of the sur, he a mother both me to born
Best him, best they be back to dim an he hold offers
That o",0.807228915662651,325.474670874725,0.75,79.7619047619048,55.4541051136249,19.5746729774321,0.0,0.797619047619048,0.385542168674699,0.024390243902439,0.0,-6.1960244178772,0.784887254238129,0.783394157886505,0.786385953426361,0.784887254238129
